Date,Mean_Gauge,filename
19/08/01,6.52,Inundation Boundary (19AUG2001 00 00 00 Value_0).tif
20/08/01,5.64,Inundation Boundary (20AUG2001 00 00 00 Value_0).tif
21/08/01,5.155,Inundation Boundary (21AUG2001 00 00 00 Value_0).tif
22/08/01,4.48,Inundation Boundary (22AUG2001 00 00 00 Value_0).tif
23/08/01,5.505,Inundation Boundary (23AUG2001 00 00 00 Value_0).tif
24/08/01,5.86,Inundation Boundary (24AUG2001 00 00 00 Value_0).tif
25/08/01,5.22,Inundation Boundary (25AUG2001 00 00 00 Value_0).tif
26/08/01,5.17,Inundation Boundary (26AUG2001 00 00 00 Value_0).tif
27/08/01,5.23,Inundation Boundary (27AUG2001 00 00 00 Value_0).tif
28/08/01,5.64,Inundation Boundary (28AUG2001 00 00 00 Value_0).tif
29/08/01,5.545,Inundation Boundary (29AUG2001 00 00 00 Value_0).tif
30/08/01,5,Inundation Boundary (30AUG2001 00 00 00 Value_0).tif
31/08/01,4,Inundation Boundary (31AUG2001 00 00 00 Value_0).tif
01/09/01,3.74,Inundation Boundary (01SEP2001 00 00 00 Value_0).tif
02/09/01,3.62,Inundation Boundary (02SEP2001 00 00 00 Value_0).tif
03/09/01,3.8,Inundation Boundary (03SEP2001 00 00 00 Value_0).tif
04/09/01,3.94,Inundation Boundary (04SEP2001 00 00 00 Value_0).tif
05/09/01,3.87,Inundation Boundary (05SEP2001 00 00 00 Value_0).tif
06/09/01,3.735,Inundation Boundary (06SEP2001 00 00 00 Value_0).tif
07/09/01,3.56,Inundation Boundary (07SEP2001 00 00 00 Value_0).tif
08/09/01,3.48,Inundation Boundary (08SEP2001 00 00 00 Value_0).tif
09/09/01,3.43,Inundation Boundary (09SEP2001 00 00 00 Value_0).tif
10/09/01,3.39,Inundation Boundary (10SEP2001 00 00 00 Value_0).tif
11/09/01,3.36,Inundation Boundary (11SEP2001 00 00 00 Value_0).tif
12/09/01,3.34,Inundation Boundary (12SEP2001 00 00 00 Value_0).tif
13/09/01,3.3,Inundation Boundary (13SEP2001 00 00 00 Value_0).tif
14/09/01,3.2,Inundation Boundary (14SEP2001 00 00 00 Value_0).tif
15/09/01,3.2,Inundation Boundary (15SEP2001 00 00 00 Value_0).tif
16/09/01,3.17,Inundation Boundary (16SEP2001 00 00 00 Value_0).tif
17/09/01,3.15,Inundation Boundary (17SEP2001 00 00 00 Value_0).tif
18/09/01,3.13,Inundation Boundary (18SEP2001 00 00 00 Value_0).tif
19/09/01,3.13,Inundation Boundary (19SEP2001 00 00 00 Value_0).tif
20/09/01,3.12,Inundation Boundary (20SEP2001 00 00 00 Value_0).tif
21/09/01,3.11,Inundation Boundary (21SEP2001 00 00 00 Value_0).tif
22/09/01,3.09,Inundation Boundary (22SEP2001 00 00 00 Value_0).tif
23/09/01,3.07,Inundation Boundary (23SEP2001 00 00 00 Value_0).tif
24/09/01,3.06,Inundation Boundary (24SEP2001 00 00 00 Value_0).tif
25/09/01,3.05,Inundation Boundary (25SEP2001 00 00 00 Value_0).tif
26/09/01,3.05,Inundation Boundary (26SEP2001 00 00 00 Value_0).tif
27/09/01,3.05,Inundation Boundary (27SEP2001 00 00 00 Value_0).tif
28/09/01,3.04,Inundation Boundary (28SEP2001 00 00 00 Value_0).tif
29/09/01,3.04,Inundation Boundary (29SEP2001 00 00 00 Value_0).tif
30/09/01,3.04,Inundation Boundary (30SEP2001 00 00 00 Value_0).tif
01/06/02,2.38,Inundation Boundary (01JUN2002 00 00 00 Value_0).tif
02/06/02,2.36,Inundation Boundary (02JUN2002 00 00 00 Value_0).tif
03/06/02,2.38,Inundation Boundary (03JUN2002 00 00 00 Value_0).tif
04/06/02,2.43,Inundation Boundary (04JUN2002 00 00 00 Value_0).tif
05/06/02,2.42,Inundation Boundary (05JUN2002 00 00 00 Value_0).tif
06/06/02,2.44,Inundation Boundary (06JUN2002 00 00 00 Value_0).tif
07/06/02,2.3,Inundation Boundary (07JUN2002 00 00 00 Value_0).tif
08/06/02,2.3,Inundation Boundary (08JUN2002 00 00 00 Value_0).tif
09/06/02,2.3,Inundation Boundary (09JUN2002 00 00 00 Value_0).tif
10/06/02,2.43,Inundation Boundary (10JUN2002 00 00 00 Value_0).tif
11/06/02,2.49,Inundation Boundary (11JUN2002 00 00 00 Value_0).tif
12/06/02,2.47,Inundation Boundary (12JUN2002 00 00 00 Value_0).tif
13/06/02,2.48,Inundation Boundary (13JUN2002 00 00 00 Value_0).tif
14/06/02,2.52,Inundation Boundary (14JUN2002 00 00 00 Value_0).tif
15/06/02,2.725,Inundation Boundary (15JUN2002 00 00 00 Value_0).tif
16/06/02,2.76,Inundation Boundary (16JUN2002 00 00 00 Value_0).tif
17/06/02,2.58,Inundation Boundary (17JUN2002 00 00 00 Value_0).tif
18/06/02,2.49,Inundation Boundary (18JUN2002 00 00 00 Value_0).tif
19/06/02,2.46,Inundation Boundary (19JUN2002 00 00 00 Value_0).tif
20/06/02,2.42,Inundation Boundary (20JUN2002 00 00 00 Value_0).tif
21/06/02,2.35,Inundation Boundary (21JUN2002 00 00 00 Value_0).tif
22/06/02,2.32,Inundation Boundary (22JUN2002 00 00 00 Value_0).tif
23/06/02,2.36,Inundation Boundary (23JUN2002 00 00 00 Value_0).tif
24/06/02,2.59,Inundation Boundary (24JUN2002 00 00 00 Value_0).tif
25/06/02,2.88,Inundation Boundary (25JUN2002 00 00 00 Value_0).tif
26/06/02,2.55,Inundation Boundary (26JUN2002 00 00 00 Value_0).tif
27/06/02,2.57,Inundation Boundary (27JUN2002 00 00 00 Value_0).tif
28/06/02,2.64,Inundation Boundary (28JUN2002 00 00 00 Value_0).tif
29/06/02,2.55,Inundation Boundary (29JUN2002 00 00 00 Value_0).tif
30/06/02,2.49,Inundation Boundary (30JUN2002 00 00 00 Value_0).tif
01/07/02,2.45,Inundation Boundary (01JUL2002 00 00 00 Value_0).tif
